country,country_name,country_id,year,family,seat_share,cabinet_share
AUS,Australia,33,1919,eco,0,0
AUS,Australia,33,1919,lib,0,0
AUS,Australia,33,1919,other,0,0
AUS,Australia,33,1919,right,70.7,100
AUS,Australia,33,1919,soc,29.3,0
AUS,Australia,33,1920,agr,8,0
AUS,Australia,33,1920,chr,0,0
AUS,Australia,33,1920,com,0,0
AUS,Australia,33,1920,con,2.7,0
AUS,Australia,33,1920,eco,0,0
AUS,Australia,33,1920,lib,0,0
AUS,Australia,33,1920,other,5.3,0
AUS,Australia,33,1920,right,49.3,100
AUS,Australia,33,1920,soc,34.7,0
AUS,Australia,33,1921,agr,8,0
AUS,Australia,33,1921,chr,0,0
AUS,Australia,33,1921,com,0,0
AUS,Australia,33,1921,con,2.7,0
AUS,Australia,33,1921,eco,0,0
AUS,Australia,33,1921,lib,0,0
AUS,Australia,33,1921,other,5.3,0
AUS,Australia,33,1921,right,49.3,100
AUS,Australia,33,1921,soc,34.7,0
AUS,Australia,33,1922,agr,8,0
AUS,Australia,33,1922,chr,0,0
AUS,Australia,33,1922,com,0,0
AUS,Australia,33,1922,con,2.7,0
AUS,Australia,33,1922,eco,0,0
AUS,Australia,33,1922,lib,0,0
AUS,Australia,33,1922,other,5.3,0
AUS,Australia,33,1922,right,49.3,100
AUS,Australia,33,1922,soc,34.7,0
AUS,Australia,33,1923,agr,0,0
AUS,Australia,33,1923,chr,0,0
AUS,Australia,33,1923,com,0,0
AUS,Australia,33,1923,con,25,0
AUS,Australia,33,1923,eco,0,0
AUS,Australia,33,1923,lib,0,0
AUS,Australia,33,1923,other,1.3,0
AUS,Australia,33,1923,right,34.2,100
AUS,Australia,33,1923,soc,39.5,0
AUS,Australia,33,1924,agr,0,0
AUS,Australia,33,1924,chr,0,0
AUS,Australia,33,1924,com,0,0
AUS,Australia,33,1924,con,25,35
AUS,Australia,33,1924,eco,0,0
AUS,Australia,33,1924,lib,0,0
AUS,Australia,33,1924,other,1.3,0
AUS,Australia,33,1924,right,34.2,65
AUS,Australia,33,1924,soc,39.5,0
AUS,Australia,33,1925,agr,0,0
AUS,Australia,33,1925,chr,0,0
AUS,Australia,33,1925,com,0,0
AUS,Australia,33,1925,con,25,35
AUS,Australia,33,1925,eco,0,0
AUS,Australia,33,1925,lib,0,0
AUS,Australia,33,1925,other,1.3,0
AUS,Australia,33,1925,right,34.2,65
AUS,Australia,33,1925,soc,39.5,0
AUS,Australia,33,1926,agr,0,0
AUS,Australia,33,1926,chr,0,0
AUS,Australia,33,1926,com,0,0
AUS,Australia,33,1926,con,18.4,27.5
AUS,Australia,33,1926,eco,0,0
AUS,Australia,33,1926,lib,0,0
AUS,Australia,33,1926,other,1.3,0
AUS,Australia,33,1926,right,48.7,72.5
AUS,Australia,33,1926,soc,31.6,0
AUS,Australia,33,1927,agr,0,0
AUS,Australia,33,1927,chr,0,0
AUS,Australia,33,1927,com,0,0
AUS,Australia,33,1927,con,18.4,27.5
AUS,Australia,33,1927,eco,0,0
AUS,Australia,33,1927,lib,0,0
AUS,Australia,33,1927,other,1.3,0
AUS,Australia,33,1927,right,48.7,72.5
AUS,Australia,33,1927,soc,31.6,0
AUS,Australia,33,1928,agr,0,0
AUS,Australia,33,1928,chr,0,0
AUS,Australia,33,1928,com,0,0
AUS,Australia,33,1928,con,18.4,27.5
AUS,Australia,33,1928,eco,0,0
AUS,Australia,33,1928,lib,0,0
AUS,Australia,33,1928,other,1.3,0
AUS,Australia,33,1928,right,48.7,72.5
AUS,Australia,33,1928,soc,31.6,0
AUS,Australia,33,1929,agr,0,0
AUS,Australia,33,1929,chr,0,0
AUS,Australia,33,1929,com,0,0
AUS,Australia,33,1929,con,18.4,31
AUS,Australia,33,1929,eco,0,0
AUS,Australia,33,1929,lib,0,0
AUS,Australia,33,1929,other,1.3,0
AUS,Australia,33,1929,right,38.2,69
AUS,Australia,33,1929,soc,42.1,0
AUS,Australia,33,1930,agr,0,0
AUS,Australia,33,1930,chr,0,0
AUS,Australia,33,1930,com,0,0
AUS,Australia,33,1930,con,14.5,0
AUS,Australia,33,1930,eco,0,0
AUS,Australia,33,1930,lib,0,0
AUS,Australia,33,1930,other,5.3,0
AUS,Australia,33,1930,right,18.4,0
AUS,Australia,33,1930,soc,61.8,100
AUS,Australia,33,1931,agr,0,0
AUS,Australia,33,1931,chr,0,0
AUS,Australia,33,1931,com,0,0
AUS,Australia,33,1931,con,14.5,0
AUS,Australia,33,1931,eco,0,0
