id,country,name_short,name,name_english
2802,28,SDKU; SDKU-DS,Slovenská demokratická a krestanská unia; Slovenská demokratická a krestanská unia-Demokratická strana,Slovak Democratic and Christian Union; Slovak Democratic and Christian Union-Democratic Party
2803,28,Smer,Strana Smer-Tretia Cesta; Smer-sociálna demorkacia,Direction-Third Way; Direction-Social Democracy
2804,28,SMK,Strana madarskej koalície- Magyar Koalíció Pártja,Party of the Hungarian Coalition
2805,28,KDH,Kresťanskodemokratické hnutie,Christian Democratic Movement
2806,28,ANO,Aliancia Nového Občana,Alliance for a New Citizen
2807,28,KSS,Komunistická strana Slovenska,Communist Party of Slovakia
2808,28,PSNS,Pravá Slovenská národná strana,Right Slovak National Party
2809,28,SNS,Slovenská národná strana,Slovak National Party
2810,28,HZD,Hnutie za demokraciu,Movement for Democracy
2811,28,SF,Slobodné fórum,Free Forum
2812,28,SaS,Sloboda a Solidarita,Freedom and Solidarity
2813,28,Most,Most-Hid,Most-Hid
2901,29,LDS,Liberalna demoracija Slovenije,Liberal Democracy of Slovenia
2902,29,SDSS; SDS,Socialdemokratska stranka Slovenije; Slovenska demokratska stranka,Social Democratic Party of Slovenia; Slovenian Democratic Party
2903,29,ZLSD,Združena lista socialnih demokratov,United List of Social Democrats
2904,29,SLS-SKD; SLS,SLS-SKD Slovenska Ljudska Stranka; Slovenska ljudska stranka,Slovenian People's Party-Slovenian Christian Democrats; Slovenian People's Party
2905,29,NSI,Nova Slovenija-Kršcanska ljudska stranka,New Slovenia-Christian People's Party
2906,29,DeSUS,Demokratična stranka upokojencev Slovenije,Democratic Party of Pensioners of Slovenia
2907,29,SNS,Slovenska nacionalna stranka,Slovenian National Party
2908,29,SMS,Stranka Mladih Slovenije,Party of the Slovenia Youth
2909,29,AS,Aktivna Slovenija,Active Slovenia
2910,29,Zares,Zares,Zares ﾖ For Real
3101,31,HZD,Hrvatska demokratska zajednica,Croatian Democratic Union
3102,31,SDP,Socialdemokratska partija Hrvatske,Social Dem Party of Croatia
3103,31,HSS,Hrvatska Seljacka stranka,Croatian Peasant Party
3104,31,HSLS,Hrvatska socijalno liberalna stranka,Croatian Social Liberal Party
3105,31,HNS,Hrvatska narodna stranka-Liberalni Demokrati,Croatian People's Party- Liberal Democrats
3106,31,IDS-DDI,Istarski demokratski sabor,Istrian Democratic Assembly
3107,31,HDSSB,Hrvatski demokratski sabor Slavonije   i  Baranje,Croatian Democratic Assebly of Slavonija and Baranja
3108,31,HSU,Hrvatska stranka umirovljenika,Croatian Party Of Pensioners
3109,31,HSP,Hrvatska stranka prava,Croatian Party of Rights
3110,31,SDSS,Samostalna demokratska srpska Stranka,Independent Democratic Serbian Party
3111,31,SDAH,Stranka demokratske akcije Hrvatske,Party of Action of Croatia
3401,34,AKP,Adalet ve Kalkinma Partisi,Justice and Development Party
3402,34,CHP,Cumhuriyet Halk Partisia,Republican People's Party
3403,34,MHP,Milliyetci Hareket Partisi,Nationalist Movement Party
3404,34,DYP,Demokrat Parti,Democratic  Party
3405,34,GP,Genc Parti,Youth Party
