id,type_id,country_id,date,first_round_election_id,early,wikipedia,seats_total,electorate,votes_cast,votes_valid,data_source,description,comment,previous_parliament_election_id,previous_ep_election_id,previous_cabinet_id,old_countryID,old_parlID
116,13,8,1982-09-08,,1,"http://en.wikipedia.org/wiki/Dutch_general_election,_1982",150,10216627,8273631,8236516,verk,,,81,23,6,528,19820
117,13,11,1963-11-30,,0,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1963",80,1345836,1205322,1198045,"ec-nz, yb-nzl",,,666,,701,554,19630
118,13,54,2005-09-18,,1,"http://en.wikipedia.org/wiki/German_federal_election,_2005",614,61870711,48044134,47287988,bwl,Early election on 18 September 2005 after PM Schröder lost a vote of confidence.,Official results include a by-election at 2 October 2005 in the district Dresden I.,385,18,529,276,20050
119,13,1,1994-10-01,,1,"http://en.wikipedia.org/wiki/Slovak_parliamentary_election,_1994",150,3876555,2923265,2875458,ssr,Early election on 1 October 1994.,,294,,817,703,19940
120,13,11,1969-11-29,,0,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1969",84,1503952,1351813,1340168,yb-nzl,,,391,,44,554,19690
121,13,21,1945-10-30,,0,"http://en.wikipedia.org/wiki/Danish_Folketing_election,_1945",149,2381983,2055315,2049184,yb-dnk,,,901,,10,208,19450
122,13,37,1944-05-30,,1,"http://en.wikipedia.org/wiki/Irish_general_election,_1944",138,1816142,1230139,1217349,no-2010,,,921,,1445,372,19440
123,1,37,2004-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Ireland)",13,3143025,1841335,1780768,eie,,,408,491,179,372,1020040
124,1,1,2004-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Slovakia)",14,4210463,713308,701595,ssr,,,218,,547,703,1020040
125,13,8,1971-04-28,,0,"http://en.wikipedia.org/wiki/Dutch_general_election,_1971",150,8048726,6364719,6318152,verk,First election after compulsory voting was abolished in 1970.,,204,,172,528,19710
126,13,10,1997-04-19,,1,"http://en.wikipedia.org/wiki/Bulgarian_parliamentary_election,_1997",240,7289956,4291258,4256928,essex,"Early election on 19 April 1997.
",,355,,714,100,19970
127,13,51,1985-12-08,,0,"http://en.wikipedia.org/wiki/Cypriot_legislative_election,_1985",56,346454,327821,319467,parline,,,70,,313,196,19850
128,1,21,1984-06-17,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_(Denmark)",16,3843947,2013359,1990280,yb-dnk,,,597,271,195,208,1019840
129,13,60,1990-04-12,,0,"http://en.wikipedia.org/wiki/Slovenian_parliamentary_election,_1990",80,1491471,,,su,,,,,,705,19900
130,1,75,2004-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Estonia)",6,873809,234485,232230,vvk,,,423,,138,233,1020040
