party_id,partyfacts_id
1507,1010
1701,1031
238,845
772,1816
255,865
2253,1976
301,749
1131,61
2701,2068
2697,1825
137,1798
808,1375
1727,211
2709,1831
2713,1895
2700,2070
1180,1731
649,1135
1720,2702
2736,7345
2698,1828
1420,735
1235,2702
2703,2702
543,573
358,1152
41,1090
2691,1826
2696,1883
2692,1830
912,1502
633,24
2693,1827
1506,695
865,1287
187,1151
2705,2072
2690,1884
1537,1723
2695,1893
791,1545
1718,270
2710,2107
2704,2702
558,383
292,1652
2649,6126
524,720
