election_id,turnout,enp_votes,enp_seats,disproportionality,advantage_ratio,polarization_vote,polarization_seats,calculation_date
492,80.42,3.8183824568236404,3.4071624783803034,3.515910416423747,1.069853183224702,0.4196583638537423,0.4310218173499967,2023-11-04 21:48:06
493,68.04,4.302644022080652,2.8077011230804496,10.515461259983036,1.373390557939914,0.42040559972176017,0.3952462044131148,2023-11-04 21:48:06
495,93.77,2.4659939435188747,2.1953874687525197,3.96849623293012,1.0812975570684822,0.3602064166924293,0.3194852091838881,2023-11-04 21:48:06
496,83.25,6.172077521293667,4.196413896152409,6.372387304846505,1.5069318866787222,0.5018631318664482,0.49562546771028415,2023-11-04 21:48:06
497,93.67,4.978083241815422,4.681647940074906,1.4009461088849926,1.0546875,0.3612863120937327,0.3653330607609993,2023-11-04 21:48:06
498,81.38,6.318834220581908,5.232006327445294,6.743337628233867,2.2675736961451243,0.4623461849887097,0.47275639281440407,2023-11-04 21:48:06
499,82.89,3.7516413430876017,2.96861485234153,5.902851213216322,1.159155036986197,0.4100376433115623,0.3969299464614672,2023-11-04 21:48:06
500,73.85,2.773720979701549,2.336181249523228,4.610280991038023,1.4285714285714286,0.4165429824391595,0.42254865397659064,2023-11-04 21:48:06
501,94.54,9.014865422933763,7.622795115332428,4.1437422549430485,1.3163668275559457,0.38297625365441246,0.3528022163436946,2023-11-04 21:48:06
502,93.39,3.5250082414692687,3.159780272271316,2.710559569934179,2.2675736961451243,0.4476678909088258,0.44524524285222233,2023-11-04 21:48:06
503,89.08,4.695507380797619,4.389764562210673,1.5689548292572593,1.1141529254472529,0.38672492316933826,0.3862804363453079,2023-11-04 21:48:06
504,51.1,4.0799826747615695,3.5121951219512195,4.5248744611192135,1.1318619128466327,0.44759343672293234,0.4336783201221846,2023-11-04 21:48:06
505,86.64,4.578861922037732,3.5999999999999996,10.94820939190007,1.557632398753894,0.4581258763609408,0.35867897801051385,2023-11-04 21:48:06
506,71.4,3.350417671442966,2.573925338255798,7.724211598876529,1.1856282881424525,0.5377846909177239,0.5481001511650283,2023-11-04 21:48:06
507,93.83,3.868008540717579,3.45211763105211,2.705805848763561,1.6778523489932886,0.4675949599629688,0.46712925643258707,2023-11-04 21:48:06
508,80.7,2.5558572375845143,2.3235400423400625,3.8582840169634416,1.2345679012345678,0.5133765245063099,0.5296269667053233,2023-11-04 21:48:06
509,95.7,2.024346163517857,1.988235294117647,1.806837277328964,1.039701754125388,0.17233715625701715,0.1747494624277952,2023-11-04 21:48:06
511,59.86,3.413377024559248,2.5913845461702847,12.577585607827215,1.4107142857142858,0.4153864145541732,0.40494687724879963,2023-11-04 21:48:06
512,84.63,4.793807551157717,4.537195008381449,1.2137336346175167,1.046695712472688,0.4492866277500492,0.45198943206238584,2023-11-04 21:48:06
513,91.44,2.896617463370679,2.0837026095519446,16.62495150866331,1.317353185191829,0.1972384413623042,0.22118926719272805,2023-11-04 21:48:06
514,77.77,3.034385658279625,2.2679042537820613,13.402120320225391,1.7281105990783412,0.34663322011029835,0.3795401663248168,2023-11-04 21:48:06
515,75.27,3.3784324789525346,3.1532175689479054,2.400520817315164,1.3978194017332959,0.17848634171126035,0.16854893650495803,2023-11-04 21:48:06
516,28.22,5.566252036552464,3.2266666666666666,11.040956996789667,1.4217239418311804,0.528432143376616,0.5817018345433606,2023-11-04 21:48:06
517,85.43,3.8859851943964094,3.512332188573213,4.3163127268023045,1.2244897959183672,0.4006949672865271,0.37936949432683154,2023-11-04 21:48:06
518,79.88,3.1862659193811,2.909090909090909,3.2380549717384355,2.9761904761904763,0.30989193097142753,0.31029996062949583,2023-11-04 21:48:06
519,39.26,6.433610829980189,5.564885496183207,3.8720752845989685,1.2619092687235787,0.36690748233554227,0.36115912646368115,2023-11-04 21:48:06
520,96.08,2.0638816784889245,1.9957487009919694,1.5110940822608585,1.0256410256410255,0.17286997890653732,0.17266661947925302,2023-11-04 21:48:06
521,46.05,7.407736640146969,6.779661016949153,2.630589287593181,1.6666666666666667,0.4753418537991325,0.4746963758479992,2023-11-04 21:48:06
522,63.1,4.9384330490211585,4.421397379912663,3.329477213995993,1.0672358591248667,0.3870490784077926,0.3728986101932922,2023-11-04 21:48:06
523,80.24,5.014366410484358,4.140099948302601,5.011899155266381,1.2283215862895915,0.44649369159678276,0.4235219387911808,2023-11-04 21:48:06
524,58.84,5.541031588257468,4.174397031539889,7.194839585888394,1.2105490704712494,0.4001786614128244,0.4172615963157884,2023-11-04 21:48:06
525,70.09,5.1506198333166715,4.856115107913669,1.26350946685789,1.048218029350105,0.34047307856625386,0.34225891078408915,2023-11-04 21:48:06
526,87.59,4.705375279558109,3.773584905660378,5.398873339256379,1.1581385554853654,0.42507848783675234,0.38470812271989613,2023-11-04 21:48:06
527,72.06,6.160480517480362,4.948045522018802,4.977449145897927,1.6666666666666667,0.37830484493189354,0.36676901357881914,2023-11-04 21:48:06
528,85.29,1.7144894936083828,2.272727272727273,21.094384589849735,2.380952380952381,0.4468095551797209,0.3749853752900619,2023-11-04 21:48:06
529,95.13,4.798414527065626,4.505406487785343,1.2865824670204573,1.0455876202425765,0.34387425428440554,0.3380467997541169,2023-11-04 21:48:06
530,75.4,6.974161151383793,6.744604316546762,0.7823681997627471,1.0355987055016183,0.48368343250227647,0.4863515383553096,2023-11-04 21:48:06
531,89.28,4.558068793656043,4.418838780857812,1.2947255852112416,1.1173184357541899,0.4250744824117299,0.4225431624377622,2023-11-04 21:48:06
533,94.89,1.998515942031766,1.9957487009919694,0.7728378888013113,1.0150920300347819,0.15037248081201562,0.15038,2023-11-04 21:48:06
534,72.65,9.699596700468792,7.587253414264036,5.228321910517753,1.2658227848101264,0.5625880434027335,0.5836208107613863,2023-11-04 21:48:06
535,72.42,4.122847497396524,3.5555555555555554,3.4465997736900045,1.0845045982994967,0.4302624770321065,0.4304279139837701,2023-11-04 21:48:06
536,90.66,10.419479926246753,9.615384615384615,4.493372897946486,20.0,0.4483319744806584,0.43793169792308473,2023-11-04 21:48:06
538,95.39,5.805988482312288,4.984492689410722,3.5370766334801256,1.146131805157593,0.27516724108399365,0.2865498095249372,2023-11-04 21:48:06
539,48.38,6.34733962684752,4.333333333333333,9.150497254247991,1.3699568463593397,0.35312840406019136,0.36627092199743994,2023-11-04 21:48:06
